ND	103	4
ND	124	12
ND	124	9
ND	104	3
D	96	3
ND	92	3
ND	124	6
ND	99	4
ND	92	3
ND	116	9
ND	99	11
D	22	17
D	81	6
ND	117	7
D	100	10
ND	89	11
ND	125	9
ND	127	9
ND	112	5
ND	48	9
ND	139	2
ND	118	8
D	107	5
ND	106	0
D	129	4
ND	117	5
ND	123	2
ND	118	4
D	84	10
ND	117	2
D	101	6
ND	141	4
ND	124	7
ND	110	7
ND	98	3
ND	109	9
ND	120	10
ND	127	6
ND	103	6
ND	118	5
ND	117	5
ND	115	7
ND	119	4
ND	117	4
ND	92	7
ND	101	10
ND	119	2
ND	144	3
ND	119	5
ND	127	7
ND	113	7
ND	127	2
ND	103	3
ND	128	8
ND	86	7
ND	112	10
ND	115	4
ND	117	11
ND	99	3
ND	110	4
D	139	6
ND	117	4
ND	96	5
D	111	5
ND	118	4
ND	126	11
ND	126	2
ND	89	10
ND	102	4
ND	134	5
ND	93	5
ND	115	1
D	99	13
ND	99	8
ND	122	0
ND	106	5
ND	124	1
ND	100	4
ND	114	7
ND	121	1
ND	119	5
ND	108	4
ND	110	10
ND	127	4
ND	118	2
ND	107	3
D	123	2
D	102	5
ND	110	6
ND	114	4
ND	118	2
D	101	7
D	121	6
ND	114	2
