lung	muscle	liver	skeleton kidneys heart	step	stamina	stretch	blow	urine
20	16	52	10	24	23	19	20	23	29	67
24	16	52	7	27	16	16	15	31	33	59
19	21	57	18	22	23	16	19	42	40	61
24	21	62	12	31	25	17	17	36	36	77
29	18	62	14	26	27	15	20	33	29	88
18	19	51	15	29	23	19	20	50	37	54
19	27	61	12	19	24	17	11	38	21	72
17	22	57	14	26	23	12	15	40	34	52
24	20	67	14	29	28	18	20	44	37	66
17	26	54	10	27	21	17	16	35	35	75
23	17	44	13	27	22	12	16	25	30	70
21	16	61	12	26	25	19	16	46	36	54
23	21	56	16	25	19	17	17	45	33	52
18	19	43	13	23	23	17	14	33	31	73
4	14	38	12	27	23	14	18	37	34	70
23	28	57	12	16	22	15	19	32	24	26
17	13	51	10	20	17	15	15	39	32	66
18	24	58	10	25	27	15	17	40	34	67
12	20	50	9	30	28	18	15	43	36	85
26	15	62	8	29	25	19	16	46	35	79
22	20	57	19	29	25	18	15	42	36	70
26	20	62	14	24	24	17	15	46	37	66
17	20	62	15	30	26	19	17	50	35	84
20	27	57	15	22	24	19	17	50	39	69
21	14	58	8	27	22	19	16	33	36	81
15	14	64	11	27	24	18	15	39	39	66
22	11	66	6	28	22	14	17	29	32	64
17	15	47	13	22	22	18	14	42	30	78
13	16	59	10	23	22	16	18	39	33	64
20	25	55	15	25	25	14	18	38	30	57
24	14	58	16	25	24	17	18	44	35	77
24	21	63	14	31	23	18	16	37	39	66
21	22	60	19	28	24	17	17	45	35	76
20	14	53	15	24	25	18	18	51	35	93
24	20	54	13	23	23	18	16	38	26	77
24	22	51	14	23	19	18	14	47	36	76
19	17	54	15	27	25	18	16	39	33	68
19	22	50	16	21	19	17	16	39	30	66
17	16	57	12	30	25	19	17	43	35	74
22	20	52	12	25	22	18	18	44	33	72
23	24	56	15	29	24	14	7	39	23	9
23	16	54	11	25	24	13	10	27	28	63
19	16	46	12	20	22	15	16	34	34	72
8	15	30	10	16	11	11	10	16	17	53
22	21	54	16	27	26	17	18	42	39	65
15	13	46	12	22	23	10	12	38	23	49
20	18	61	14	27	25	17	14	40	32	57
26	13	64	12	31	24	19	17	45	33	64
23	9	48	11	26	21	16	19	42	37	51
23	22	67	16	31	27	19	17	48	33	59
21	26	61	15	27	24	20	18	46	34	66
16	11	49	3	28	24	14	11	31	34	62
22	20	50	15	29	24	15	17	46	34	80
19	13	49	11	28	23	15	17	40	35	65
18	16	49	10	25	18	17	18	39	36	82
22	21	55	11	25	18	12	17	32	31	79
21	22	53	10	22	16	15	14	40	35	77
15	22	60	14	25	23	17	20	45	37	89
23	20	69	14	32	27	18	16	30	32	50
22	15	26	16	28	26	18	15	40	37	75
16	15	49	9	27	17	18	17	51	38	70
28	24	63	16	32	28	17	18	44	38	59
29	27	67	16	30	26	18	18	48	36	54
14	14	42	8	26	20	11	14	30	32	65
20	17	53	11	28	17	16	12	37	31	68
23	21	63	10	29	24	14	13	44	34	64
22	19	61	17	25	24	14	18	47	33	59
19	17	45	9	18	15	11	18	42	31	66
5	25	46	16	29	26	18	16	38	26	64
16	18	47	12	21	22	17	17	40	31	68
20	18	54	7	29	24	13	16	24	38	66
17	18	54	6	29	23	18	14	27	32	67
22	21	58	14	23	23	16	18	20	31	93
22	18	54	11	22	23	14	15	28	30	73
25	22	60	15	23	23	13	19	45	35	77
15	18	54	14	23	24	14	13	21	29	72
17	16	47	13	25	20	14	17	46	38	74
21	19	59	12	26	23	19	12	48	38	72
17	11	49	11	27	17	13	13	35	25	73
17	22	53	14	22	24	18	20	39	33	63
10	25	42	9	20	25	4	14	21	33	59
25	26	69	16	31	28	20	20	35	36	77
29	14	64	16	28	26	17	18	48	39	81
22	11	56	11	20	21	16	14	50	41	59
18	21	51	14	22	23	18	18	36	35	70
19	19	65	14	29	25	14	16	41	36	48
23	22	54	15	28	56	17	11	22	34	58
14	15	46	16	22	21	15	16	35	35	66
15	17	55	15	24	26	17	14	27	32	54
20	15	51	8	19	23	11	12	34	31	40
26	16	60	13	23	24	19	14	44	33	84
23	17	47	15	27	20	16	17	47	35	71
26	26	51	17	28	24	18	16	40	27	66
27	16	60	13	30	26	17	15	34	26	30
23	18	58	8	30	21	15	11	25	33	81
17	22	56	11	25	20	17	11	41	33	66
18	18	51	11	30	24	18	19	33	36	66
8	16	41	11	19	18	11	16	22	30	74
17	21	47	13	24	22	16	14	41	34	66
23	18	65	17	32	28	17	19	49	37	77
18	22	51	17	29	25	19	19	34	35	81
24	19	63	14	32	22	17	8	49	38	76
21	23	56	18	29	24	16	18	46	37	57
18	11	54	11	23	21	17	14	31	23	53
20	16	54	13	28	23	16	15	38	36	70
15	25	41	12	20	20	15	17	33	38	50
17	17	57	8	28	22	20	18	39	34	72
25	14	61	14	28	23	17	18	47	35	82
20	22	63	15	25	24	14	17	42	40	54
25	24	57	12	20	21	16	11	36	34	61
24	24	62	17	20	22	18	19	47	32	57
27	15	61	19	28	26	18	17	50	39	66
19	19	56	16	21	20	13	17	45	32	62
17	16	43	14	22	25	13	17	47	35	75
21	22	48	14	25	19	15	11	51	33	93
18	25	51	13	25	26	17	17	40	39	81
16	19	51	14	29	24	14	13	40	36	68
22	18	62	14	26	22	17	15	40	34	58
20	16	61	14	27	24	16	17	41	39	69
26	21	60	13	27	22	15	18	39	32	77
20	17	46	12	16	21	18	17	36	36	69
14	20	52	10	23	26	16	14	30	33	51
21	13	60	9	25	27	18	15	24	34	77
20	24	60	12	30	28	19	20	41	37	57
20	20	61	17	31	23	17	18	46	34	76
20	19	54	16	26	23	15	13	41	32	60
16	16	50	9	17	19	17	12	35	33	51
19	23	58	15	32	22	19	16	48	34	77
